# ws,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9 # first row is center of energy bin
0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01,1.200000000000000000e+01,1.400000000000000000e+01,1.600000000000000000e+01,1.800000000000000000e+01,2.000000000000000000e+01
0.000000000000000000e+00,8.787360630315133037e-02,7.453329612501876041e-06,1.220395907825216024e-12,3.857547866792221713e-22,2.353867815436560059e-34,2.772764492263763701e-49,6.305275438311928677e-67,2.767931308293185920e-87,2.345668950420349114e-110,3.837410824330264686e-136
2.498750624687656047e-02,8.809865903115389474e-02,7.540727397272432722e-06,1.253423440241043188e-12,4.045277513223534195e-22,2.534328299009362653e-34,3.081189350333063747e-49,7.267340598129718401e-67,3.324173715171123244e-87,2.947719395693208469e-110,5.065520866402854152e-136
4.997501249375312093e-02,8.877400749493678800e-02,7.804620429693371095e-06,1.354161957844113230e-12,4.625984667402636751e-22,3.102646845193984021e-34,4.073805864783602627e-49,1.044307702896342066e-66,5.214075230096157748e-87,5.060269087132282237e-110,9.530369782386482727e-136
7.496251874062967446e-02,8.990021945546754212e-02,8.250133274597799647e-06,1.527655383997087751e-12,5.653786951459318031e-22,4.143544841383721228e-34,5.967063323274539073e-49,1.678702314316749445e-66,9.188148378690964477e-87,9.757093331494325354e-110,2.006602724343167971e-135
9.995002498750624187e-02,9.147823093468357425e-02,8.885892224999742482e-06,1.782567304293921422e-12,7.224223229492379159e-22,5.811809558556360178e-34,9.172817524183970150e-49,2.820158993792790799e-66,1.682104977455784849e-86,1.942038714380530951e-109,4.334619399514865800e-135
1.249375312343827954e-01,9.350933089796616138e-02,9.724154204913678667e-06,2.131577757247413220e-12,9.482743736450225322e-22,8.354676497253781842e-34,1.438621511364737338e-48,4.809952308165885931e-66,3.112872756200299774e-86,3.893849010501589386e-109,9.408135225020575770e-135
1.499250374812593489e-01,9.599513991360530962e-02,1.078098898614541973e-05,2.591961609526700415e-12,1.263758748155324888e-21,1.214745590788020198e-33,2.273354842228910150e-48,8.240986045301606769e-66,5.774711692309053648e-86,7.815718951481564907e-109,2.042475560708403820e-134
1.749125437281359441e-01,9.893758289331504308e-02,1.207651647668852382e-05,3.186372393964627369e-12,1.697813325321696126e-21,1.774738927170741657e-33,3.601091050425652997e-48,1.413196397376471244e-65,1.071279488173294239e-85,1.568029943795543963e-108,4.430947759595119712e-134
1.999000499750124837e-01,1.023388560476608117e-01,1.363520134720075044e-05,3.943863789853637707e-12,2.290026488835063513e-21,2.597324063294738812e-33,5.706322276411394226e-48,2.422556168032161569e-65,1.985976945066502180e-85,3.143184550530937136e-108,9.603638589772966058e-134
2.248875562218890234e-01,1.062013882200956577e-01,1.548620777555681066e-05,4.901190399891411006e-12,3.094086856279278947e-21,3.802166100263185091e-33,9.038203819904011559e-48,4.149661057769341069e-65,3.678384203098436170e-85,6.294698226827546084e-108,2.079486677560701182e-133
2.498750624687655908e-01,1.105277967931448807e-01,1.766381760835871898e-05,6.104440460882207642e-12,4.182432472093897906e-21,5.563638183191563465e-33,1.430452414993741547e-47,7.101633455892898773e-65,6.806539442470892492e-85,1.259387829754554356e-107,4.498355784743578326e-133
2.748625687156421860e-01,1.153208383901121042e-01,2.020791576300716484e-05,7.611065997425267779e-12,5.652482745359557050e-21,8.135345929122385438e-33,2.261913245375696033e-47,1.214200557472190255e-64,1.258272893209916167e-84,2.517219987275238141e-107,9.721381408809166112e-133
2.998500749625186979e-01,1.205833546254390792e-01,2.316454722471521184e-05,9.492391129267600020e-12,7.634963396300772345e-21,1.188560464976277597e-32,3.573291691869039970e-47,2.073969392701148197e-64,2.323809125205151261e-84,5.026426698814861231e-107,2.098836055507824747e-132
3.248375812093952653e-01,1.263182131864904745e-01,2.658655052959828406e-05,1.183669728501723344e-11,1.030500126418580353e-20,1.734868555184090110e-32,5.639526829783932046e-47,3.539090888200835925e-64,4.287484968352080035e-84,1.002706641291219326e-106,4.526946556561553303e-132
3.498250874562718882e-01,1.325282445589505698e-01,3.053427316728912517e-05,1.475300555468124028e-11,1.389688456614685633e-20,2.529874917000365842e-32,8.891914420011204479e-47,6.033339759055475177e-64,7.902802786631090941e-84,1.998318684648382358e-106,9.754578961787273258e-132
3.748125937031484001e-01,1.392161747371301883e-01,3.507637488361006338e-05,1.837570203086589487e-11,1.872367141256535235e-20,3.685639129260874346e-32,1.400635122815033137e-46,1.027543666349680117e-63,1.455244631451326245e-83,3.978615019449186873e-106,2.099848673999515004e-131
3.998000999500249675e-01,1.463845542891414608e-01,4.029072541446350616e-05,2.287018256523039644e-11,2.520320634698564808e-20,5.364202442005940879e-32,2.204100442780403981e-46,1.748312819370527038e-63,2.677115946459447916e-83,7.913623698245245159e-106,4.515894383876401563e-131
4.247876061969015349e-01,1.540356841749861705e-01,4.626540373460494358e-05,2.843972986877857504e-11,3.389259906964007707e-20,7.799645455060715582e-32,3.465087337084088726e-46,2.971764017947423373e-63,4.920108338733042157e-83,1.572516390874337305e-105,9.702325985433779288e-131
4.497751124437780468e-01,1.621715387429342459e-01,5.309980645714387727e-05,3.533387944728263189e-11,4.553386733146504395e-20,1.132977669522385340e-31,5.442185572330605896e-46,5.046448097166007707e-63,9.033550137226791254e-83,3.121700793557312499e-105,2.082496385868248764e-130
4.747626186906546142e-01,1.707936863559748331e-01,6.090587356873822114e-05,4.385858282111441229e-11,6.111429404494439386e-20,1.644161089350059960e-31,8.539035819889046239e-46,8.561179670229029311e-63,1.656984938911792535e-82,6.191040951732441659e-105,4.465488328395207512e-130
4.997501249375311816e-01,1.799032081253905402e-01,6.980944022819253155e-05,5.438853839955930851e-11,8.194615770254252589e-20,2.383657154506662309e-31,1.338506978426714290e-45,1.450967620088351068e-62,3.036371949727788005e-82,1.226626623849425625e-104,9.565991020519736015e-130
5.247376311844077490e-01,1.895006152524265908e-01,7.995172388855400613e-05,6.738213410300449297e-11,1.097719440152224500e-19,3.452387762690907540e-31,2.096084349163814767e-45,2.456734011581396819e-62,5.558628996837995795e-82,2.427936952095686312e-104,2.047233065013225442e-129
5.497251374312843719e-01,1.995857655013515974e-01,9.149095652022818325e-05,8.339953350896345489e-11,1.469030373590179841e-19,4.995416177892047759e-31,3.279239827334036143e-45,4.155610778627742525e-62,1.016615471046383979e-81,4.801077662084724828e-104,4.377044013938665911e-129
5.747126436781608838e-01,2.101577793477104050e-01,1.046041722097457345e-04,1.031245414652942444e-10,1.964023552422771248e-19,7.221045827073482384e-31,5.125236534154155963e-45,7.022437746084412481e-62,1.857471028491108188e-81,9.484542031559332396e-104,9.349122457122855053e-129
5.997001499250373957e-01,2.212149563639658478e-01,1.194891608795611452e-04,1.273910087198848174e-10,2.623245983309884373e-19,1.042809163667347389e-30,8.002597144816671700e-45,1.185542806721716123e-61,3.390499548190562768e-81,1.871846828354666532e-103,1.994973315437671599e-128
